即,滚盘,真实分差,时间,结果
6.5,-7.5,0,28,1
6.5,-7.5,3,54,1
6.5,-7.5,3,62,1
6.5,-7.5,3,70,1
5.5,-7.5,3,78,1
5.5,-7.5,5,92,1
5.5,-7.5,5,103,1
5.5,-7.5,5,119,1
5.5,-7.5,5,126,1
6.5,-7.5,5,133,1
6.5,-7.5,3,143,1
6.5,-7.5,5,173,1
6.5,-7.5,5,198,1
6.5,-7.5,5,198,1
6.5,-7.5,2,220,1
6.5,-7.5,2,241,1
,-7.5,0,269,1
,-7.5,2,269,1
,-7.5,2,287,1
,-7.5,0,293,1
,-7.5,2,313,1
,-7.5,0,334,1
,-7.5,2,343,1
,-7.5,-1,360,1
,-7.5,-1,386,1
,-7.5,-1,392,1
,-7.5,-1,412,1
,-7.5,-1,420,1
,-7.5,-1,429,1
,-7.5,0,463,1
,-7.5,0,465,1
,-7.5,2,486,1
,-7.5,-1,509,1
,-7.5,1,528,1
,-7.5,1,528,1
,-7.5,1,542,1
,-7.5,1,566,1
,-7.5,1,608,1
,-7.5,1,612,1
,-5.5,2,612,1
,-5.5,5,662,1
,-5.5,5,673,1
,-5.5,5,684,1
,-5.5,5,685,1
,-5.5,5,700,1
,-5.5,5,717,1
,-5.5,5,717,1
,-1.5,9,1064,1
,-1.5,9,1081,1
,2.5,12,1114,1
